event_id,bracket_bundle_id,attempts,last_failed
11268,732809,1,2025-03-20
11268,732795,1,2025-03-20
11268,732785,1,2025-03-20
11268,732826,1,2025-03-20
11268,732787,1,2025-03-20
11268,732791,1,2025-03-20
11268,732818,1,2025-03-20
11268,732796,1,2025-03-20
11268,732803,1,2025-03-20
11268,732790,1,2025-03-20
11268,732810,1,2025-03-20
11268,732789,1,2025-03-20
11268,732817,1,2025-03-20
11268,732797,1,2025-03-20
11268,732830,1,2025-03-20
11268,732802,1,2025-03-20
11268,732820,1,2025-03-20
11268,732873,1,2025-03-20
11268,732895,1,2025-03-20
11268,732832,1,2025-03-20
11268,732816,1,2025-03-20
11268,732891,1,2025-03-20
11268,732793,1,2025-03-20
11268,732821,1,2025-03-20
11268,732794,1,2025-03-20
11268,732839,1,2025-03-20
11268,732782,1,2025-03-20
11268,732824,1,2025-03-20
11268,732883,1,2025-03-20
11268,732851,1,2025-03-20
11268,732838,1,2025-03-20
11268,732801,1,2025-03-20
11268,732833,1,2025-03-20
11268,732837,1,2025-03-20
11268,732828,1,2025-03-20
11268,732783,1,2025-03-20
11268,732909,1,2025-03-20
11268,732920,1,2025-03-20
11268,732884,1,2025-03-20
11268,732906,1,2025-03-20
11268,732863,1,2025-03-20
11268,732876,1,2025-03-20
11268,732919,1,2025-03-20
11268,732857,1,2025-03-20
11268,732834,1,2025-03-20
11268,732841,1,2025-03-20
11268,732904,1,2025-03-20
11268,732877,1,2025-03-20
11268,732846,1,2025-03-20
11268,732914,1,2025-03-20
11268,732880,1,2025-03-20
11268,732852,1,2025-03-20
11268,732889,1,2025-03-20
11268,732892,1,2025-03-20
11268,732898,1,2025-03-20
11268,732899,1,2025-03-20
11268,732921,1,2025-03-20
11268,732860,1,2025-03-20
11268,732822,1,2025-03-20
11268,732869,1,2025-03-20
11268,732859,1,2025-03-20
11268,732911,1,2025-03-20
11268,732872,1,2025-03-20
11268,732813,1,2025-03-20
11268,732882,1,2025-03-20
11268,732864,1,2025-03-20
11268,732888,1,2025-03-20
11268,732836,1,2025-03-20
11268,732786,1,2025-03-20
11268,732903,1,2025-03-20
11268,732850,1,2025-03-20
11268,732907,1,2025-03-20
11268,732798,1,2025-03-20
11268,732918,1,2025-03-20
11268,732804,1,2025-03-20
11268,732806,1,2025-03-20
11268,732835,1,2025-03-20
11268,732865,1,2025-03-20
11268,732871,1,2025-03-20
11268,732811,1,2025-03-20
11268,732808,1,2025-03-20
11268,732887,1,2025-03-20
11268,732908,1,2025-03-20
11268,732912,1,2025-03-20
11268,732885,1,2025-03-20
11268,732855,1,2025-03-20
11268,732812,1,2025-03-20
11268,732792,1,2025-03-20
11268,732905,1,2025-03-20
11268,732901,1,2025-03-20
11268,732896,1,2025-03-20
11268,732856,1,2025-03-20
11268,732784,1,2025-03-20
11268,732881,1,2025-03-20
11268,732823,1,2025-03-20
11268,732878,1,2025-03-20
11268,732870,1,2025-03-20
11268,732886,1,2025-03-20
11268,732867,1,2025-03-20
11268,732894,1,2025-03-20
11268,732825,1,2025-03-20
11268,732843,1,2025-03-20
11268,732893,1,2025-03-20
11268,732827,1,2025-03-20
11268,732917,1,2025-03-20
11268,732916,1,2025-03-20
11268,732915,1,2025-03-20
11268,732879,1,2025-03-20
11268,732861,1,2025-03-20
11268,732788,1,2025-03-20
11268,732900,1,2025-03-20
11268,732845,1,2025-03-20
11268,732849,1,2025-03-20
11127,732695,1,2025-03-20
11127,732670,1,2025-03-20
11127,732657,1,2025-03-20
11127,732614,1,2025-03-20
11127,732650,1,2025-03-20
11127,732703,1,2025-03-20
11127,732625,1,2025-03-20
11127,732667,1,2025-03-20
11127,732665,1,2025-03-20
11127,732621,1,2025-03-20
11127,732688,1,2025-03-20
11127,732694,1,2025-03-20
11127,732624,1,2025-03-20
11127,732676,1,2025-03-20
11127,732622,1,2025-03-20
11127,732646,1,2025-03-20
11127,732637,1,2025-03-20
11127,732679,1,2025-03-20
11127,732619,1,2025-03-20
11127,732678,1,2025-03-20
11127,732617,1,2025-03-20
11127,732636,1,2025-03-20
11127,732616,1,2025-03-20
11127,732630,1,2025-03-20
11127,732618,1,2025-03-20
11127,732610,1,2025-03-20
11127,732655,1,2025-03-20
11127,732686,1,2025-03-20
11127,732640,1,2025-03-20
11127,732635,1,2025-03-20
11127,732674,1,2025-03-20
11127,732623,1,2025-03-20
11127,732641,1,2025-03-20
11127,732658,1,2025-03-20
11127,732659,1,2025-03-20
11127,732611,1,2025-03-20
11127,732662,1,2025-03-20
11127,732626,1,2025-03-20
11127,732651,1,2025-03-20
11127,732638,1,2025-03-20
11127,732620,1,2025-03-20
11127,732690,1,2025-03-20
11127,732648,1,2025-03-20
11127,732660,1,2025-03-20
11127,732681,1,2025-03-20
11127,732633,1,2025-03-20
11127,732612,1,2025-03-20
11127,732698,1,2025-03-20
11127,732682,1,2025-03-20
11127,732709,1,2025-03-20
11127,732644,1,2025-03-20
11127,732701,1,2025-03-20
11127,732684,1,2025-03-20
11127,732653,1,2025-03-20
