event_id,event_name,match_id
19885,"ADCC US Open - Portland, OR",10432758
19885,"ADCC US Open - Portland, OR",10432845
19885,"ADCC US Open - Portland, OR",10432755
19885,"ADCC US Open - Portland, OR",10431736
19885,"ADCC US Open - Portland, OR",10432791
19885,"ADCC US Open - Portland, OR",10432830
19885,"ADCC US Open - Portland, OR",10432866
19885,"ADCC US Open - Portland, OR",10445771
19885,"ADCC US Open - Portland, OR",10432538
19885,"ADCC US Open - Portland, OR",10432704
19885,"ADCC US Open - Portland, OR",10432969
19885,"ADCC US Open - Portland, OR",10445755
19885,"ADCC US Open - Portland, OR",10432846
19885,"ADCC US Open - Portland, OR",10449307
19885,"ADCC US Open - Portland, OR",10431669
19885,"ADCC US Open - Portland, OR",10432543
19885,"ADCC US Open - Portland, OR",10430875
19885,"ADCC US Open - Portland, OR",10432862
19885,"ADCC US Open - Portland, OR",10449303
19885,"ADCC US Open - Portland, OR",10432847
19885,"ADCC US Open - Portland, OR",10445782
19885,"ADCC US Open - Portland, OR",10448829
19885,"ADCC US Open - Portland, OR",10432683
19885,"ADCC US Open - Portland, OR",10448826
19885,"ADCC US Open - Portland, OR",10445754
19885,"ADCC US Open - Portland, OR",10432699
19885,"ADCC US Open - Portland, OR",10432713
19885,"ADCC US Open - Portland, OR",10432829
19885,"ADCC US Open - Portland, OR",10449308
19885,"ADCC US Open - Portland, OR",10445756
19885,"ADCC US Open - Portland, OR",10432714
19885,"ADCC US Open - Portland, OR",10445772
19885,"ADCC US Open - Portland, OR",10432751
19885,"ADCC US Open - Portland, OR",10432792
19885,"ADCC US Open - Portland, OR",10431346
19885,"ADCC US Open - Portland, OR",10432984
19885,"ADCC US Open - Portland, OR",10432897
19885,"ADCC US Open - Portland, OR",10445783
19885,"ADCC US Open - Portland, OR",10432793
19885,"ADCC US Open - Portland, OR",10445757
19885,"ADCC US Open - Portland, OR",10431650
19885,"ADCC US Open - Portland, OR",10432848
19885,"ADCC US Open - Portland, OR",10432734
19885,"ADCC US Open - Portland, OR",10432101
19885,"ADCC US Open - Portland, OR",10432715
19885,"ADCC US Open - Portland, OR",10432973
19885,"ADCC US Open - Portland, OR",10431903
19885,"ADCC US Open - Portland, OR",10435593
19885,"ADCC US Open - Portland, OR",10445784
19885,"ADCC US Open - Portland, OR",10432898
19885,"ADCC US Open - Portland, OR",10430861
19885,"ADCC US Open - Portland, OR",10435431
19885,"ADCC US Open - Portland, OR",10432834
19885,"ADCC US Open - Portland, OR",10432952
19885,"ADCC US Open - Portland, OR",10445785
19885,"ADCC US Open - Portland, OR",10432756
19885,"ADCC US Open - Portland, OR",10432975
19885,"ADCC US Open - Portland, OR",10431651
19885,"ADCC US Open - Portland, OR",10432102
19885,"ADCC US Open - Portland, OR",10448831
19885,"ADCC US Open - Portland, OR",10432716
19885,"ADCC US Open - Portland, OR",10432869
19885,"ADCC US Open - Portland, OR",10445758
19885,"ADCC US Open - Portland, OR",10431347
19885,"ADCC US Open - Portland, OR",10445786
19885,"ADCC US Open - Portland, OR",10432836
19885,"ADCC US Open - Portland, OR",10432900
19885,"ADCC US Open - Portland, OR",10433204
19885,"ADCC US Open - Portland, OR",10446853
19885,"ADCC US Open - Portland, OR",10435432
19885,"ADCC US Open - Portland, OR",10431904
19885,"ADCC US Open - Portland, OR",10432870
19885,"ADCC US Open - Portland, OR",10432795
19885,"ADCC US Open - Portland, OR",10432992
19885,"ADCC US Open - Portland, OR",10431906
19885,"ADCC US Open - Portland, OR",10446857
19885,"ADCC US Open - Portland, OR",10431652
19885,"ADCC US Open - Portland, OR",10448830
19885,"ADCC US Open - Portland, OR",10432761
19885,"ADCC US Open - Portland, OR",10432717
19885,"ADCC US Open - Portland, OR",10432843
19885,"ADCC US Open - Portland, OR",10431907
19885,"ADCC US Open - Portland, OR",10432865
19885,"ADCC US Open - Portland, OR",10432794
19885,"ADCC US Open - Portland, OR",10433205
19885,"ADCC US Open - Portland, OR",10433188
19885,"ADCC US Open - Portland, OR",10432762
19885,"ADCC US Open - Portland, OR",10432953
19885,"ADCC US Open - Portland, OR",10435433
19885,"ADCC US Open - Portland, OR",10431737
19885,"ADCC US Open - Portland, OR",10432685
19885,"ADCC US Open - Portland, OR",10435594
19885,"ADCC US Open - Portland, OR",10446858
19885,"ADCC US Open - Portland, OR",10432899
