Fighter ID,First Name,Last Name,Nickname,Team,Profile URL
4411,Julius,Park,,Crazy 88,https://www.bjjheroes.com/?p=4411
12785,Julia,Alves,,GF Team,https://www.bjjheroes.com/?p=12785
10370,Julia,Boscher,,,https://www.bjjheroes.com/?p=10370
11401,Juliana,Borges,,,https://www.bjjheroes.com/?p=11401
9711,Jurandir,Conceicao,,G13,https://www.bjjheroes.com/?p=9711
1377,Jurandir,Moura,,,https://www.bjjheroes.com/?p=1377
13801,Justin,Ordinario,,,https://www.bjjheroes.com/?p=13801
1398,Justin,Rader,,,https://www.bjjheroes.com/?p=1398
9114,JW,Wright,,Gracie Humaita,https://www.bjjheroes.com/?p=9114
1377,Jurandir,Moura,,,https://www.bjjheroes.com/?p=1377
967,Jonathan,Torres,JT,Atos,https://www.bjjheroes.com/?p=967
13028,Kacie,Tan,,Fortitude BJJ,https://www.bjjheroes.com/?p=13028
13834,Kaua,Gabriel,,Escola Melqui Galvao,https://www.bjjheroes.com/?p=13834
11465,Kauan,Barboza,,Checkmat,https://www.bjjheroes.com/?p=11465
3009,Keenan,Cornelius,,Atos,https://www.bjjheroes.com/?p=3009
12491,Keith,Krikorian,,10th Planet,https://www.bjjheroes.com/?p=12491
1068,Keith,McKenzie,,Checkmat,https://www.bjjheroes.com/?p=1068
2504,Gerry,Costa,Kid Pelligro,,https://www.bjjheroes.com/?p=2504
12005,Kade,Ruotolo,,Atos,https://www.bjjheroes.com/?p=12005
11725,Kaiser,Girao,,Checkmat,https://www.bjjheroes.com/?p=11725
8173,Karel,Pravec,Silver Fox,Renzo Gracie Academy,https://www.bjjheroes.com/?p=8173
13473,Kauane,Silva,,Fight Sports,https://www.bjjheroes.com/?p=13473
8974,Kaynan,Duarte,,Atos,https://www.bjjheroes.com/?p=8974
10885,Kendall,Reusing,,Gracie Barra,https://www.bjjheroes.com/?p=10885
9031,Kennedy,Maciel,Cobrinha Junior,Alliance,https://www.bjjheroes.com/?p=9031
13678,Kenta,Iwamoto,,,https://www.bjjheroes.com/?p=13678
11889,Keven,Carrasco,,Ares,https://www.bjjheroes.com/?p=11889
13507,Kevin,Gabriel Alencar,,Dream Art,https://www.bjjheroes.com/?p=13507
6368,Kevin,Mahecha,,ATT,https://www.bjjheroes.com/?p=6368
13515,Khaled,Alshehi,,,https://www.bjjheroes.com/?p=13515
12115,Kieran,Kichuk,,Team Lloyd Irvin,https://www.bjjheroes.com/?p=12115
9758,Kit,Dale,,,https://www.bjjheroes.com/?p=9758
12010,Kira,Sung,,Seorae JJ,https://www.bjjheroes.com/?p=12010
13241,Kjetil,Lydvo,,Frontline,https://www.bjjheroes.com/?p=13241
11049,Kody,Steele,,Checkmat,https://www.bjjheroes.com/?p=11049
1919,Koji,Shibamoto,,Tri Force,https://www.bjjheroes.com/?p=1919
674,Kyra,Gracie,,,https://www.bjjheroes.com/?p=674
8981,Kristen,Martin,,Brazil 021,https://www.bjjheroes.com/?p=8981
8893,Kristin,Mikkelson,,Brazil 021,https://www.bjjheroes.com/?p=8893
788,Kron,Gracie,,,https://www.bjjheroes.com/?p=788
12842,Kristof,Szucs,,Gracie Barra,https://www.bjjheroes.com/?p=12842
901,Kayron,Gracie,,Gracie Barra,https://www.bjjheroes.com/?p=901
2475,Kurt,Osiander,,Ralph Gracie,https://www.bjjheroes.com/?p=2475
10705,Kyle,Boehm,,10th Planet,https://www.bjjheroes.com/?p=10705
8399,Kleber,Oliveira,Buiu,Gracie Barra,https://www.bjjheroes.com/?p=8399
8682,Lachlan,Giles,,Absolute MMA,https://www.bjjheroes.com/?p=8682
9477,Larissa,Campos,,Gracie Humaita,https://www.bjjheroes.com/?p=9477
12508,Larissa,Dias,,,https://www.bjjheroes.com/?p=12508
9938,Larissa,Paes,,Gordo JJ,https://www.bjjheroes.com/?p=9938
1041,Laercio,Fernandes,,Team Oyama,https://www.bjjheroes.com/?p=1041
11071,Laura,Barker,,Gracie Barra,https://www.bjjheroes.com/?p=11071
1840,Laurence,Cousin Fouillat,,,https://www.bjjheroes.com/?p=1840
3028,Leandro,Escobar,Tatu,,https://www.bjjheroes.com/?p=3028
13458,Leandro,Lima,Rounaud,Fratres,https://www.bjjheroes.com/?p=13458
1188,Leandro,Lo,,NS Brotherhood,https://www.bjjheroes.com/?p=1188
1730,Leandro,Lora,,Brazil 021,https://www.bjjheroes.com/?p=1730
