event_id,bracket_bundle_id,match_id
19787,1211259,10538130
19787,1211259,10538131
19787,1211259,10538132
19787,1211259,10538133
19787,1211259,10538134
19787,1211259,10538135
19787,1211259,10538136
19787,1211259,10538137
19787,1211259,10538138
19787,1211259,10538139
19787,1211259,10538140
19787,1211259,10538141
19787,1211259,10538142
19787,1211259,10538143
19787,1211259,10538144
19787,1211259,10538145
19787,1211259,10538146
19787,1211259,10538147
19787,1211259,10538148
19787,1211259,10538149
19787,1211259,10538150
19787,1211259,10538151
19787,1211259,10538152
19787,1211259,10538153
19787,1211259,10538154
19787,1211238,10581520
19787,1211238,10581521
19787,1211238,10581522
19787,1211238,10581523
19787,1211238,10581524
19787,1211238,10581525
19787,1211238,10581526
19787,1211238,10581527
19787,1211238,10581528
19787,1211238,10581529
19787,1211238,10581530
19787,1211238,10581531
19787,1211238,10581532
19787,1211238,10581533
19787,1211238,10581534
19787,1211238,10581535
19787,1211238,10581536
19787,1211238,10581537
19787,1211238,10581538
19787,1211238,10581539
19787,1211238,10581540
19787,1211238,10581541
19787,1211238,10581542
19787,1211238,10581543
19787,1211238,10581544
19787,1211238,10581545
19787,1211238,10581546
19787,1211238,10581547
19787,1211238,10581548
19787,1211238,10581549
19787,1211238,10581550
19787,1211238,10581551
19787,1211244,10573999
19787,1211244,10574000
19787,1211244,10574001
19787,1211244,10574002
19787,1211244,10574003
19787,1211244,10574004
19787,1211244,10574005
19787,1211244,10574006
19787,1211244,10574007
19787,1211244,10574008
19787,1211244,10574009
19787,1211244,10574010
19787,1211244,10574011
19787,1211244,10574012
19787,1211244,10574013
19787,1211244,10574014
19787,1211244,10574015
19787,1211244,10574016
19787,1211244,10574017
19787,1211244,10574018
19787,1211244,10574019
19787,1211244,10574020
19787,1211244,10574021
19787,1211244,10574022
19787,1211244,10574023
19787,1211244,10574024
19787,1211244,10574025
19787,1211244,10574026
19787,1211244,10574027
19787,1211244,10574028
19787,1211244,10574029
19787,1211244,10574030
19787,1211253,10574031
19787,1211253,10574032
19787,1211253,10574033
19787,1211253,10574034
19787,1211253,10574035
19787,1211253,10574036
19787,1211253,10574037
19787,1211253,10574038
19787,1211253,10574039
19787,1211253,10574040
19787,1211253,10574041
19787,1211253,10574042
19787,1211253,10574043
19787,1211253,10574044
19787,1211253,10574045
19787,1211253,10574046
19787,1211241,10537735
19787,1211241,10537736
19787,1211241,10537737
19787,1211241,10537738
19787,1211241,10537739
19787,1211241,10537740
19787,1211241,10537741
19787,1211241,10537742
19787,1211260,10538155
19787,1211260,10538156
19787,1211260,10538157
19787,1211260,10538158
19787,1211260,10538159
19787,1211260,10538160
19787,1211260,10538161
19787,1211260,10538162
19787,1211100,10592547
19787,1211100,10592548
19787,1211100,10592549
19787,1211100,10592550
19787,1211087,10538187
19787,1211087,10538188
19787,1211087,10538189
19787,1211087,10538190
19787,1211087,10538191
19787,1211087,10538192
19787,1211087,10538193
19787,1211087,10538194
19787,1211097,10536916
19787,1211098,10585541
19787,1211086,10584691
19787,1211086,10584692
19787,1211086,10584693
19787,1211086,10584694
19787,1211086,10584695
19787,1211086,10584696
19787,1211086,10584697
19787,1211086,10584698
19787,1211083,10571734
19787,1211083,10571735
19787,1211083,10571736
19787,1211083,10571737
19787,1211083,10571738
19787,1211083,10571739
19787,1211083,10571740
19787,1211083,10571741
19787,1211083,10571742
19787,1211083,10571743
19787,1211083,10571744
19787,1211083,10571745
19787,1211083,10571746
19787,1211083,10571747
19787,1211083,10571748
19787,1211083,10571749
19787,1211092,10585542
19787,1211094,10585496
19787,1211094,10585497
19787,1211094,10585498
19787,1211094,10585499
19787,1211094,10585500
19787,1211094,10585501
19787,1211094,10585502
19787,1211094,10585503
19787,1211094,10585504
19787,1211094,10585505
19787,1211094,10585506
19787,1211094,10585507
19787,1211094,10585508
19787,1211094,10585509
19787,1211094,10585510
19787,1211094,10585511
19787,1211093,10585680
19787,1211093,10585681
19787,1211093,10585682
19787,1211093,10585683
19787,1211093,10585684
19787,1211093,10585685
19787,1211093,10585686
19787,1211093,10585687
19787,1211099,10585537
19787,1211095,10585794
19787,1211095,10585795
19787,1211095,10585796
19787,1211095,10585797
19787,1211090,10584560
19787,1211090,10584561
19787,1211090,10584562
19787,1211090,10584563
